Timestamp,Event,EAR,MAR
2025-11-14 13:53:58,Yawn Detected,0.26,0.59
2025-11-14 13:53:59,Yawn Detected,0.30,0.58
2025-11-14 15:50:17,Drowsiness Detected,0.15,0.38
2025-11-14 15:50:23,Yawn Detected,0.11,0.95
2025-11-14 15:50:40,Yawn Detected,0.20,0.86
2025-11-14 15:50:40,Drowsiness Detected,0.23,0.84
2025-11-14 15:50:51,Yawn Detected,0.18,0.81
2025-11-14 16:11:15,Drowsiness Detected,0.15,0.31
2025-11-14 16:11:19,Yawn Detected,0.13,0.80
2025-11-14 16:11:23,Yawn Detected,0.10,0.66
2025-11-14 16:11:29,Drowsiness Detected,0.12,0.50
2025-11-14 16:11:51,Drowsiness Detected,0.16,0.38
2025-11-14 16:12:14,Drowsiness Detected,0.12,0.38
2025-11-14 16:12:23,Drowsiness Detected,0.16,0.33
2025-11-14 16:12:44,Yawn Detected,0.29,0.77
2025-11-14 16:12:50,Drowsiness Detected,0.19,0.34
2025-11-14 16:13:31,Drowsiness Detected,0.24,0.35
2025-11-14 16:13:39,Drowsiness Detected,0.18,0.35
2025-11-14 16:13:49,Drowsiness Detected,0.17,0.33
2025-11-14 16:14:01,Drowsiness Detected,0.22,0.34
2025-11-14 16:19:59,Drowsiness Detected,0.14,0.45
2025-11-14 16:19:59,Yawn Detected,0.16,0.62
2025-11-14 16:20:04,Drowsiness Detected,0.18,0.30
2025-11-14 16:25:20,Drowsiness Detected,0.18,0.35
2025-11-14 16:26:42,Drowsiness Detected,0.14,0.35
2025-11-14 16:26:51,Drowsiness Detected,0.15,0.35
2025-11-14 16:39:54,Drowsiness Detected,0.20,0.36
2025-11-14 16:40:30,Yawn Detected,0.26,0.53
2025-11-14 16:40:34,Drowsiness Detected,0.13,0.38
2025-11-14 16:40:41,Drowsiness Detected,0.16,0.38
2025-11-14 16:58:12,Yawn Detected,0.19,0.52
2025-11-23 01:54:45,Drowsiness Detected,0.17,0.34
2025-11-23 22:38:12,Yawn Detected,0.18,0.51
2025-12-13 16:19:15,Yawn Detected,0.39,0.53,Yawn_Detected_20251213_161915.png
2025-12-13 16:19:16,Yawn Detected,0.46,0.50,Yawn_Detected_20251213_161916.png
2025-12-13 16:19:17,Yawn Detected,0.45,0.52,Yawn_Detected_20251213_161917.png
2025-12-13 16:19:21,Yawn Detected,0.40,0.54,Yawn_Detected_20251213_161921.png
2025-12-13 16:19:22,Yawn Detected,0.44,0.54,Yawn_Detected_20251213_161922.png
2025-12-13 22:24:48,Drowsiness Detected,0.19,0.43,Drowsiness_Detected_20251213_222448.png
2025-12-13 22:24:58,Drowsiness Detected,0.13,0.05,Drowsiness_Detected_20251213_222458.png
2025-12-13 22:35:48,Drowsiness Detected,0.19,0.31,Drowsiness_Detected_20251213_223548.png
2025-12-13 23:28:37,Drowsiness Detected,0.19,0.06,Drowsiness_Detected_20251213_232837.png
2025-12-16 16:52:42,Drowsiness Detected,0.15,0.13,Drowsiness_Detected_20251216_165242.png
2025-12-16 16:52:53,Drowsiness Detected,0.19,0.05,Drowsiness_Detected_20251216_165253.png
2025-12-16 16:52:58,Drowsiness Detected,0.13,0.31,Drowsiness_Detected_20251216_165257.png
2025-12-16 16:53:02,Drowsiness Detected,0.16,0.09,Drowsiness_Detected_20251216_165302.png
2025-12-16 16:53:10,Yawn Detected,0.20,0.70,Yawn_Detected_20251216_165310.png
2025-12-16 16:53:11,Drowsiness Detected,0.18,1.22,Drowsiness_Detected_20251216_165311.png
2025-12-16 16:53:14,Drowsiness Detected,0.18,0.06,Drowsiness_Detected_20251216_165314.png
2025-12-16 16:53:17,Drowsiness Detected,0.18,0.04,Drowsiness_Detected_20251216_165317.png
2025-12-16 16:53:23,Yawn Detected,0.21,0.67,Yawn_Detected_20251216_165323.png
2025-12-16 16:53:24,Drowsiness Detected,0.16,1.04,Drowsiness_Detected_20251216_165324.png
2025-12-16 16:53:26,Yawn Detected,1.00,0.62,Yawn_Detected_20251216_165326.png
2025-12-16 16:53:28,Drowsiness Detected,0.14,0.30,Drowsiness_Detected_20251216_165328.png
2025-12-17 03:06:21,Drowsiness Detected,0.18,0.02,Drowsiness_Detected_20251217_030621.png
2025-12-17 10:38:38,Yawn Detected,0.39,0.50,Yawn_Detected_20251217_103838.png
2025-12-17 10:39:33,Drowsiness Detected,0.14,0.36,Drowsiness_Detected_20251217_103933.png
2025-12-17 10:46:33,Drowsiness Detected,0.18,0.02,Drowsiness_Detected_20251217_104633.png
2025-12-17 10:47:17,Yawn Detected,0.31,0.80,Yawn_Detected_20251217_104717.png
2025-12-17 14:08:31,Drowsiness Detected,0.00,0.00,Drowsiness_Detected_20251217_140830.png
2025-12-17 15:07:17,Drowsiness Detected,0.15,0.35,Drowsiness_Detected_20251217_150717.png
2025-12-17 15:07:40,Drowsiness Detected,0.14,0.00,Drowsiness_Detected_20251217_150740.png
2025-12-17 15:11:35,Yawn Detected,0.38,0.57,Yawn_Detected_20251217_151135.png
2025-12-17 16:49:32,Drowsiness Detected,0.08,0.02,Drowsiness_Detected_20251217_164932.png
2025-12-17 16:49:36,Drowsiness Detected,0.17,0.45,Drowsiness_Detected_20251217_164935.png
2025-12-17 16:49:57,Drowsiness Detected,0.09,0.13,Drowsiness_Detected_20251217_164957.png
2025-12-17 17:38:09,Yawn Detected,0.25,0.67,Yawn_Detected_20251217_173809.png
2025-12-17 17:43:55,Yawn Detected,0.28,0.59,Yawn_Detected_20251217_174354.png
2025-12-17 17:44:15,Drowsiness Detected,0.00,0.00,Drowsiness_Detected_20251217_174415.png
